Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
GIMAC Analysis,"% of HH with ""moderately insecure"" or ""severely insecure"" food security status, using CARI Analysis (composite indicator using FCS, FES and LCS)","% of HH with ""moderately insecure"" or ""severely insecure"" food security status, using CARI Analysis (composite indicator using FCS, FES and LCS)",district_mcna,population_group,categorical,c14,categorical,direct_reporting
GIMAC Analysis,% HH relying on stress / crisis / emergency strategies to cope with a lack of resources to meet basic needs. ,Stress,district_mcna,population_group,categorical,stress,categorical,direct_reporting
GIMAC Analysis,% HH relying on stress / crisis / emergency strategies to cope with a lack of resources to meet basic needs. ,Crisis,district_mcna,population_group,categorical,crisis,categorical,direct_reporting
GIMAC Analysis,% HH relying on stress / crisis / emergency strategies to cope with a lack of resources to meet basic needs. ,Emergency,district_mcna,population_group,categorical,emergency,categorical,direct_reporting
GIMAC Analysis,"% of households whose average monthly income [from employment and pension] was less than 480,000 IQD/month","% of households whose average monthly income [from employment and pension] was less than 480,000 IQD/month",district_mcna,population_group,categorical,c24,categorical,direct_reporting
GIMAC Analysis,"% HH with debt value > 505,000 IQD ","% HH with debt value > 505,000 IQD ",district_mcna,population_group,categorical,c29,categorical,direct_reporting
GIMAC Analysis,"% HH unable to afford basic needs (% HH taking on debt due to healthcare, food, education, or basic household expenditures)","% HH unable to afford basic needs (% HH taking on debt due to healthcare, food, education, or basic household expenditures)",district_mcna,population_group,categorical,c30_1,categorical,direct_reporting
GIMAC Analysis,% HH reporting [reason] as a main reason for fearing eviction,Lack of funds to pack rental costs,district_mcna,population_group,categorical,c33_i,categorical,direct_reporting
GIMAC Analysis,% HH reporting [reason] as a main reason for fearing eviction,Host family no longer able to host our family,district_mcna,population_group,categorical,c33_ii,categorical,direct_reporting
GIMAC Analysis,% HH reporting [reason] as a main reason for fearing eviction,No valid tenancy agreement,district_mcna,population_group,categorical,c33_iii,categorical,direct_reporting
GIMAC Analysis,% HH by Food Consumption Score,Acceptable,district_mcna,population_group,categorical,fcs_acceptable,categorical,direct_reporting
GIMAC Analysis,% HH by Food Consumption Score,Borderline,district_mcna,population_group,categorical,fcs_borderline,categorical,direct_reporting
GIMAC Analysis,% HH by Food Consumption Score,Poor,district_mcna,population_group,categorical,fcs_poor,categorical,direct_reporting
